"first_name","last_name","sex"
"Hercules","Baer","M"
"Hercules","Bodoff","M"
"Hercules","Bisiani","F"
"Hercules","Baak","M"
"Hercules","Barreiro","M"
"Hercules","Barreiro","M"
"Hercules","Birge","F"
"Hercules","Bain","F"
"Hercules","Brendel","F"
"Hercules","Berstel","F"
"Hercules","Bernatsky","M"
"Hercules","Buchter","M"
"Hercules","Bail","F"
"Hercules","Bernardinello","F"
"Hercules","Biron","F"
"Hercules","Basagni","M"
"Hercules","Basagni","M"
"Hercules","Bahr","M"
"Hercules","Benantar","F"
"Hercules","Baranowski","M"
"Hercules","Biran","F"
"Hercules","Benzmuller","M"
